city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings,city_state,state_name,average_salary_state,hourly_rate_state,job_count_state,average_salary_city,hourly_rate_city,population,population2010,race_white,race_black,race_ameri_es,race_asian,race_hawaiian_pi,race_hispanic,race_other,race_multi,males,females,age_under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_over_85,median_age,household_count,average_household_size,families_count,average_family_size,house_units_count,vacant_house_count,owner_occupied_house,renter_occupied_house,population_growth
Chattanooga,TN,49,6.7,5.8,7.5,53,6.6,30,1,Chattanooga-TN,Tennessee,83521,40.15,551,83521,40.15,182788,167674,97202,58507,647,3306,182,9225,4669,3161,79757,87917,10674,9586,8896,11730,14204,24124,20198,22901,20779,12303,8518,3761,37.3,70749,2.26,40384,2.94,79607,8858,37220,33529,15114
Richmond,VA,50,6.7,6.1,7.0,19,6.7,7,8,Richmond-VA,Virginia,88512,42.55,1789,90649,43.58,223942,204214,83288,103342,705,4750,158,12803,7331,4640,97331,106883,12798,10266,9170,15782,26889,35226,23545,25756,22163,11400,7380,3839,32.3,87151,2.2,41304,2.95,98349,11198,37596,49555,19728
Kalamazoo,MI,51,6.7,7.0,7.9,0,0.0,0,0,Kalamazoo-MI,Michigan,86008,41.35,872,86286,41.48,77325,74262,50604,16460,384,1279,27,4736,2074,3434,36646,37616,4787,4232,3842,7499,14905,11157,7327,7462,6058,3193,2328,1472,26.5,29141,2.29,13453,3.04,32433,3292,12723,16418,3063
Hickory,NC,52,6.7,6.5,8.3,0,0.0,0,0,Hickory-NC,North Carolina,83303,40.05,1788,83965,40.37,41354,40010,29948,5707,131,1262,15,4544,2050,897,19075,20935,2719,2677,2548,2705,2821,5067,5498,5562,4680,2902,1958,873,37.6,16614,2.33,9952,3.0,18719,2105,8995,7619,1344
Hartford,CT,53,6.7,7.4,6.4,77,6.7,21,16,Hartford-CT,Connecticut,92237,44.34,678,92237,44.34,127085,124775,37205,48331,777,3437,62,54185,29667,5296,60260,64515,9452,8460,8638,11593,13301,19332,15722,15695,11479,6301,3374,1428,30.2,45124,2.57,26753,3.3,51822,6698,10988,34136,2310
Columbia,SC,54,6.7,5.9,7.3,88,6.5,42,0,Columbia-SC,South Carolina,77818,37.41,423,77818,37.41,136866,129272,66777,54537,434,2879,164,5622,1922,2559,66532,62740,6985,5913,5268,15120,22404,22595,14098,14185,11454,5742,3752,1756,28.3,45666,2.18,22638,2.94,52471,6805,21641,24025,7594
Atlanta,GA,55,6.7,5.9,6.9,15,6.6,17,46,Atlanta-GA,Georgia,81997,39.42,1275,82140,39.49,464043,420003,161115,226894,988,13188,132,21815,9317,8369,208968,211035,26789,22792,19798,28285,43946,83155,62098,51585,40216,22985,12642,5712,33.1,185142,2.11,80393,3.06,224573,39431,83154,101988,44040
Reno,NV,56,6.7,7.3,6.3,65,6.8,37,2,Reno-NV,Nevada,93869,45.13,278,93869,45.13,248815,225221,167179,6429,2835,14232,1624,54640,23566,9356,114494,110727,15750,13993,13481,15716,20599,34312,29294,30069,25761,14950,8017,3279,34.6,90924,2.43,51112,3.1,102582,11658,43666,47258,23594
Kansas City,MO,57,6.7,6.0,7.7,16,6.7,28,9,Kansas City-MO,Missouri,80712,38.8,868,81195,39.04,488023,459787,272305,137540,2331,11399,861,45953,20770,14581,223183,236604,34557,30874,28566,28931,34043,75490,60956,64947,50717,26701,16983,7022,34.6,192406,2.34,109076,3.07,221860,29454,108090,84316,28236
Ocala,FL,58,6.7,6.6,6.0,0,0.0,0,0,Ocala-FL,Florida,76936,36.99,1801,76936,36.99,59581,56315,39822,11795,188,1464,17,6586,1655,1374,26800,29515,3937,3300,3274,3810,4241,7486,6938,7610,6012,4399,3322,1986,38.1,23103,2.3,13456,2.95,26764,3661,11662,11441,3266
